dt,s1,s2,s1_norm,s2_norm,s1_ma10,s1_ma30,s1_ma60,s2_ma10,s2_ma30,s2_ma60
2015-01-01,61,18.565043988402174,0.11718312142946291,0.18755353881459946,,,,,,
2015-01-02,143,24.53278232268584,0.27470797318710155,0.24784267381550049,,,,,,
2015-01-03,190,36.22867166762759,0.364996607731114,0.36600051053262145,,,,,,
2015-01-04,251,44.25769484491228,0.4821797291605769,0.4471137958587926,,,,,,
2015-01-05,257,51.050744506040196,0.49370593782576994,0.5157406466264923,,,,,,
2015-01-06,256,44.18931146402045,0.4917849030482378,0.4464229520832334,,,,,,
2015-01-07,263,46.84338330644226,0.505232146490963,0.4732357388789644,,,,,,
2015-01-08,218,42.79711932642492,0.418785581502015,0.43235831737086633,,,,,,
2015-01-09,162,36.312571025841144,0.31120763396021295,0.36684810462111683,,,,,,
2015-01-10,140,27.51067008178473,0.268944868854505,0.27792681408258446,0.37287285031899586,,,0.37610430926847715,,
2015-01-11,178,39.63205264844679,0.3419441904007278,0.4003832002416094,0.3953489572161224,,,0.39738727541117813,,
2015-01-12,343,68.21143373395508,0.6589149286935373,0.6891066777117771,0.433769652766766,,,0.44151367580080586,,
2015-01-13,272,54.86419097999158,0.5225214594887526,0.5542660269981439,0.4495221379425298,,,0.4603402274473581,,
2015-01-14,317,55.85353034718546,0.6089680244777007,0.5642608376499112,0.4622009674742422,,,0.4720549316264699,,
2015-01-15,250,61.1473823909226,0.4802586943830447,0.6177420297970488,0.46085624312996964,,,0.4822550699435256,,
2015-01-16,379,69.97381582279237,0.7280721806846958,0.7069111600341134,0.4844849708936154,,,0.5083038907386135,,
2015-01-17,178,26.910487809480603,0.3419441904007278,0.2718634667953521,0.4681561752845919,,,0.48816666353025234,,
2015-01-18,349,59.197807369489425,0.6704411373587305,0.59804642903883,0.4933217308702635,,,0.5047354746970487,,
2015-01-19,309,49.674429100891636,0.5935997462574433,0.5018364067592492,0.5215609420999865,,,0.5182343049108619,,
2015-01-20,274,42.81637750885348,0.526363529043817,0.43255287334756476,0.5473028081189177,,,0.5336969108373599,,
2015-01-21,308,60.19821717548169,0.591678711479911,0.6081530789070387,0.572276260226836,,,0.5544738987039028,,
2015-01-22,191,31.02953261732614,0.36691764250864617,0.3134761573297753,0.543076531608347,,,0.5169108466657028,,
2015-01-23,367,55.882933341125955,0.7050197633543096,0.5645578816843195,0.5613263619949026,,,0.5179400321343203,,
2015-01-24,134,25.05174552856208,0.257418660189312,0.25308550468826674,0.5261714255660638,,,0.48682249883815587,,
2015-01-25,278,52.82949182356131,0.5340476681539457,0.5337104588319722,0.531550322943154,,,0.4784193417416482,,
2015-01-26,411,67.79700232848471,0.7895452935657254,0.6849198803769346,0.5376976342312568,,,0.4762202137759304,,
2015-01-27,335,54.05677874924284,0.6435466504732799,0.5461091370250462,0.5678578802385121,,,0.5036447807988997,,
2015-01-28,188,37.48140244560052,0.3611545381760496,0.37865623549279764,0.5369292203202439,,,0.48170576144429644,,
2015-01-29,261,51.50655726502636,0.5013900769358987,0.5203454994907304,0.5277082533880895,,,0.4835566707174445,,
2015-01-30,135,33.15068988552721,0.2593396949668441,0.334905169417328,0.5010058699803922,0.4737271761394353,,0.4737919003244209,0.46119770681008604,
2015-01-31,28,6.457554277032582,0.05378897377090101,0.0652375053623049,0.44721689620949123,0.4716140378841499,,0.4195003429699476,0.4571205056950095,
2015-02-01,127,29.90858446572394,0.2439714167465867,0.302151767643868,0.4349222736332853,0.4705894860027994,,0.4183679040013568,0.4589308088226218,
2015-02-02,223,49.336741152427656,0.42839075538967586,0.49842491095083497,0.40725937283682195,0.47270262425808485,,0.41175460692800836,0.4633449555032289,
2015-02-03,426,66.07790171379993,0.8183608152287082,0.6675526495713462,0.46335358834076157,0.48390866046035586,,0.4532013214163163,0.47069291729364743,
2015-02-04,394,71.61381859828052,0.7568877023476784,0.7234793041441258,0.48563759176013477,0.49268138594441946,,0.4721782059475316,0.47761753921090183,
2015-02-05,431,73.986343140656,0.8279659891163691,0.7474477565822127,0.4894796613151991,0.5038874221466905,,0.47843099356805946,0.4876516993608678,
2015-02-06,180,30.65985416596733,0.3457862599557922,0.309741477152386,0.4597036222634504,0.49857255926218486,,0.45479422758079346,0.4822018906366485,
2015-02-07,124,18.842333306211387,0.23820831241399018,0.1903548568649684,0.44740899968724446,0.49255331695925064,,0.4359640897180106,0.47413510861978525,
2015-02-08,221,38.97795507967075,0.42454868583461153,0.3937751731434452,0.4397248605771157,0.4963313520217306,,0.423307057083282,0.47503267757052947,
2015-02-09,273,54.87413309847297,0.5244424942662849,0.5543664673475265,0.46623514050705983,0.5048479395354566,,0.44525318687630183,0.484247332679361,
2015-02-10,342,54.822335132568796,0.6569938939160052,0.5538431778894033,0.5265556325215701,0.5153495963192991,,0.4941137541290117,0.48936266526762073,
2015-02-11,257,55.22450198893114,0.49370593782576994,0.5579060724966997,0.5515290846294885,0.5098426299570402,,0.5196891846142948,0.4849893117604515,
2015-02-12,216,47.339933785974516,0.4149435119469506,0.47825214496421475,0.550184360285216,0.5062566983723136,,0.5176719080156329,0.4824555156926538,
2015-02-13,227,37.60438128296024,0.4360748944998046,0.37989863040231303,0.5119557682123257,0.5004935940397169,,0.48890650609872954,0.4763101087844006,
2015-02-14,151,22.56108374257078,0.290076251407359,0.22792356958890567,0.4652746231182937,0.4941541792738608,,0.4393509326432075,0.4633161601107958,
2015-02-15,143,36.42063149438939,0.27470797318710155,0.36793978656352694,0.40994882152536694,0.479042039023941,,0.401400135641339,0.45201711432844294,
